Summary,DateTime
4600,2023-01-05T17:30:00Z
2300,2023-01-06T17:30:00Z
5000,2023-01-09T17:30:00Z
3000,2023-01-10T09:00:00Z
3600,2023-01-12T22:30:00Z
6280,2023-01-13T22:30:00Z
4560,2023-01-17T19:30:00Z
2160,2023-01-18T18:30:00Z
4400,2023-01-21T18:30:00Z
5800,2023-01-22T19:30:00Z
4760,2023-01-25T16:00:00Z
4520,2023-01-26T18:30:00Z
4800,2023-01-29T19:00:00Z
2300,2023-01-30T19:00:00Z
,2023-01-31T08:30:00Z
2800,2023-01-31T19:30:00Z
3600,2023-02-02T19:30:00Z
6160,2023-02-03T19:30:00Z
265,2023-02-07T20:30:00Z
3600,2023-02-08T09:00:00Z
3350,2023-02-15T19:00:00Z
5360,2023-02-16T19:30:00Z
5000,2023-02-18T21:00:00Z
4300,2023-02-19T21:00:00Z
4800,2023-02-22T06:30:00Z
4250,2023-02-23T17:00:00Z
5600,2023-02-26T17:00:00Z
4100,2023-02-27T19:00:00Z
6200,2023-03-02T14:00:00Z
4400,2023-03-03T18:30:00Z
3900,2023-03-04T17:00:00Z
3920,2023-03-06T19:30:00Z
4160,2023-03-07T19:30:00Z
4700,2023-03-10T18:00:00Z
5040,2023-03-11T19:00:00Z
2780,2023-03-12T19:00:00Z
4340,2023-03-19T12:30:00Z
4280,2023-03-20T14:30:00Z
2920,2023-03-23T15:30:00Z
3000,2023-03-24T09:00:00Z
2760,2023-03-27T15:30:00Z
5350,2023-03-28T15:00:00Z
3840,2023-03-31T05:30:00Z
6200,2023-04-01T12:00:00Z
5140,2023-04-02T05:30:00Z
4360,2023-04-04T12:30:00Z
0,2023-04-05T06:00:00Z
4600,2023-04-05T13:00:00Z
2620,2023-04-06T13:00:00Z
4860,2023-04-08T15:30:00Z
5120,2023-04-09T15:30:00Z
5860,2023-04-12T16:00:00Z
4760,2023-04-13T15:30:00Z
5600,2023-04-16T13:30:00Z
3040,2023-04-17T14:00:00Z
5880,2023-04-18T15:00:00Z
5840,2023-04-20T13:00:00Z
5800,2023-04-20T21:30:00Z
3360,2023-04-21T21:30:00Z
5460,2023-04-24T21:30:00Z
4160,2023-04-26T06:30:00Z
2880,2023-04-28T18:30:00Z
5440,2023-04-29T21:00:00Z
4660,2023-05-02T19:30:00Z
4000,2023-05-03T03:30:00Z
3700,2023-05-04T19:30:00Z
5900,2023-05-06T09:30:00Z
5980,2023-05-07T12:30:00Z
3700,2023-05-08T11:30:00Z
2040,2023-05-10T12:00:00Z
5040,2023-05-11T05:00:00Z
4000,2023-05-12T05:00:00Z
3680,2023-05-14T12:00:00Z
4740,2023-05-15T12:30:00Z
7000,2023-05-18T12:30:00Z
6400,2023-05-20T11:30:00Z
5160,2023-05-22T12:30:00Z
4820,2023-05-23T13:00:00Z
3040,2023-05-24T13:00:00Z
3750,2023-05-26T15:00:00Z
6540,2023-05-27T13:00:00Z
6100,2023-05-28T13:00:00Z
4800,2023-05-30T13:30:00Z
5960,2023-05-31T02:30:00Z
5616,2023-06-01T11:00:00Z
5360,2023-06-04T10:30:00Z
6520,2023-06-09T09:30:00Z
4200,2023-06-10T12:00:00Z
6120,2023-06-11T12:00:00Z
5000,2023-06-14T12:00:00Z
6020,2023-06-15T12:00:00Z
5300,2023-06-17T14:00:00Z
6430,2023-06-19T12:30:00Z
5400,2023-06-20T06:00:00Z
7080,2023-06-21T13:00:00Z
5800,2023-06-23T12:30:00Z
5640,2023-06-24T13:30:00Z
5000,2023-06-25T05:30:00Z
5900,2023-06-27T13:00:00Z
6800,2023-06-29T14:00:00Z
8400,2023-07-01T05:30:00Z
6540,2023-07-02T13:00:00Z
5040,2023-07-04T14:30:00Z
5760,2023-07-08T12:00:00Z
6600,2023-07-09T14:00:00Z
2000,2023-07-10T12:30:00Z
6000,2023-07-13T13:30:00Z
6020,2023-07-14T12:30:00Z
6150,2023-07-15T05:30:00Z
5060,2023-07-18T12:00:00Z
4800,2023-07-19T12:00:00Z
6240,2023-07-20T05:00:00Z
5680,2023-07-23T12:30:00Z
4860,2023-07-24T05:30:00Z
6400,2023-07-25T12:00:00Z
4160,2023-07-28T13:30:00Z
5080,2023-07-29T12:00:00Z
4620,2023-07-30T15:00:00Z
5680,2023-08-02T14:30:00Z
5680,2023-08-03T12:30:00Z
5860,2023-08-05T12:00:00Z
4500,2023-08-07T12:00:00Z
4480,2023-08-08T12:00:00Z
3420,2023-08-09T12:30:00Z
5480,2023-08-14T13:00:00Z
5460,2023-08-17T12:00:00Z
4960,2023-08-18T12:00:00Z
5899,2023-08-19T12:30:00Z
6488,2023-08-21T12:00:00Z
4572,2023-08-22T13:00:00Z
5680,2023-08-24T13:00:00Z
4840,2023-08-25T12:30:00Z
4840,2023-08-27T13:30:00Z
7680,2023-08-28T13:30:00Z
3160,2023-08-29T13:00:00Z
5240,2023-08-30T15:30:00Z
7540,2023-09-02T12:30:00Z
